u,v,key,length,highway,name,coordinates,가로수
436867953,3831106932,0,17.75998201997997,tertiary,신이문로,"[[127.0663, 37.60301], [127.0660984, 37.60301]]",True
436867953,13018541255,0,8.54435516902769,residential,,"[[127.0663, 37.60301], [127.0663503, 37.6029443]]",True
436867953,3830770923,0,48.506427583677734,residential,신이문로23길,"[[127.0663, 37.60301], [127.0662414, 37.6031113], [127.0659627, 37.6033495]]",True
436867954,13016709357,0,8.511850826935317,tertiary,신이문로,"[[127.06682, 37.60301], [127.0669166, 37.6030116]]",True
436867954,3830770902,0,15.443079602132642,tertiary,신이문로,"[[127.06682, 37.60301], [127.0666447, 37.60301]]",True
436867954,13018541257,0,6.885703763752791,residential,,"[[127.06682, 37.60301], [127.0668222, 37.6029481]]",True
436868066,3375132824,0,45.68642046583224,secondary,이문로,"[[127.0540269, 37.5886116], [127.0541516, 37.588724], [127.0542575, 37.5888143], [127.0543791, 37.588913]]",True
436868085,11037629766,0,15.570482148729416,secondary,휘경로,"[[127.0602719, 37.5964503], [127.0604331, 37.5963929]]",True
436868085,12393112763,0,12.162502854508803,secondary,이문로,"[[127.0602719, 37.5964503], [127.0603088, 37.5965557]]",True
436868085,11037629775,0,12.47151485622846,secondary,이문로,"[[127.0602719, 37.5964503], [127.0601835, 37.5963627]]",True
436868085,8964666776,0,13.313372334093414,service,,"[[127.0602719, 37.5964503], [127.0601364, 37.5965033]]",True
436868085,8964666776,1,26.12787990296625,footway,,"[[127.0602719, 37.5964503], [127.0601854, 37.5965813], [127.0601364, 37.5965033]]",True
436868085,11037629738,0,18.92142379510028,footway,,"[[127.0602719, 37.5964503], [127.0603714, 37.5962995]]",True
436868085,11037629715,0,19.21636943233387,footway,,"[[127.0602719, 37.5964503], [127.0604877, 37.5964754]]",True
436868085,11037629770,0,16.2158044854333,footway,,"[[127.0602719, 37.5964503], [127.0600898, 37.5964291]]",True
436868096,3831106439,0,88.87080275196766,secondary,이문로,"[[127.06174, 37.59902], [127.06169, 37.59889], [127.06166, 37.59879], [127.06161, 37.59869], [127.06155, 37.59858], [127.0613752, 37.598277]]",True
436868096,436868099,0,35.864914749693035,secondary,이문로,"[[127.06174, 37.59902], [127.06179, 37.59913], [127.06182, 37.59924], [127.06185, 37.59933]]",True
436868096,3831106395,0,163.3176117541147,residential,이문로34길,"[[127.06174, 37.59902], [127.0619127, 37.5990415], [127.0622997, 37.5989772], [127.0622886, 37.5987865], [127.0623132, 37.5985772], [127.0621584, 37.5983835], [127.0620907, 37.5983066], [127.0620761, 37.5982901], [127.0619566, 37.5980344]]",True
436868099,436868096,0,35.86491474969303,secondary,이문로,"[[127.06185, 37.59933], [127.06182, 37.59924], [127.06179, 37.59913], [127.06174, 37.59902]]",True
436868099,4159829049,0,47.670063064429165,secondary,이문로,"[[127.06185, 37.59933], [127.06188, 37.59951], [127.06192, 37.59967], [127.0619366, 37.599753]]",True
436868099,12866017146,0,117.77411976137788,service,,"[[127.06185, 37.59933], [127.0611239, 37.599478], [127.0611142, 37.59948], [127.0611011, 37.5994842], [127.0610884, 37.5994906], [127.0610757, 37.5994985], [127.0606578, 37.599759]]",True
436868111,414688095,0,25.432518941239607,secondary,이문로,"[[127.0620607, 37.6027512], [127.0620569, 37.6029799]]",True
436868111,3830873556,0,88.57545106007713,tertiary,화랑로32길,"[[127.0620607, 37.6027512], [127.0619709, 37.6027546], [127.06184, 37.60276], [127.0617508, 37.6028215], [127.06155, 37.60296], [127.0613232, 37.6031228], [127.0612535, 37.6031727]]",True
436868111,3831106893,0,22.7067840766602,secondary,이문로,"[[127.0620607, 37.6027512], [127.06207, 37.60262], [127.06207, 37.6025472]]",True
436868248,3831106098,0,18.353425840818858,secondary,한천로,"[[127.067853, 37.5971156], [127.0678646, 37.5969508]]",True
436868248,3831106141,0,34.889896704471624,secondary,한천로,"[[127.067853, 37.5971156], [127.0678291, 37.5974288]]",True
436868248,9776883138,0,22.887710438801463,secondary,한천로58길,"[[127.067853, 37.5971156], [127.067955, 37.597126], [127.0680381, 37.5971578], [127.068092, 37.5971861]]",True
436868263,9776883088,0,13.510466506269044,residential,한천로58길,"[[127.0702159, 37.6002545], [127.070098, 37.6003322]]",True
436868263,3831123390,0,20.82247905271616,secondary,한천로58길,"[[127.0702159, 37.6002545], [127.0701064, 37.6001132], [127.0700911, 37.6000955]]",True
436868263,9776883083,0,124.48076583383764,secondary,한천로58길,"[[127.0702159, 37.6002545], [127.0704456, 37.6004485], [127.0706558, 37.6006966], [127.0709541, 37.6011984]]",True
436868267,3831123437,0,126.9163501955698,tertiary,한천로58길,"[[127.0710958, 37.601484], [127.071125, 37.6015828], [127.0711517, 37.6016731], [127.0711504, 37.6017119], [127.0711424, 37.6019533], [127.0711251, 37.6024773], [127.0711222, 37.602566], [127.0711155, 37.6026197]]",True
436868267,4627971243,0,23.49075915453138,secondary,한천로58길,"[[127.0710958, 37.601484], [127.0710526, 37.6013641], [127.071006, 37.6012858]]",True
436870773,3832415930,0,73.0736579749087,residential,장한로21길,"[[127.0701514, 37.5698113], [127.0694085, 37.5701031]]",True
436870860,12389365986,0,14.06844520572591,footway,,"[[127.0555881, 37.5660743], [127.0555809, 37.5661136], [127.0555651, 37.5661995]]",True
436870860,12389366005,0,16.63185045013155,footway,,"[[127.0555881, 37.5660743], [127.0555979, 37.566021], [127.0556154, 37.5659263]]",True
436870860,12389366241,0,14.966000794922389,footway,,"[[127.0555881, 37.5660743], [127.0556564, 37.5660711], [127.0557576, 37.5660663]]",True
436870860,12389366324,0,16.502191882882208,footway,,"[[127.0555881, 37.5660743], [127.0555377, 37.5660767], [127.0554012, 37.5660831]]",True
436871380,3817459572,0,19.086051038130204,secondary,제기로,"[[127.0333918, 37.5864376], [127.0336084, 37.5864387]]",True
436871380,7579130795,0,27.444349448759212,secondary,제기로,"[[127.0333918, 37.5864376], [127.0330804, 37.5864327]]",True
436871380,7579130799,0,26.17714234097688,primary_link,,"[[127.0333918, 37.5864376], [127.0333278, 37.5865206], [127.0332896, 37.5865863], [127.0332848, 37.586652]]",True
436871385,3828715659,0,19.22931561887161,secondary,제기로,"[[127.03719, 37.58656], [127.0374082, 37.5865571]]",True
436871385,436871817,0,18.331296209814855,secondary,제기로,"[[127.03719, 37.58656], [127.036982, 37.5865568]]",True
436871385,7625662422,0,11.699531044522082,residential,제기로11길,"[[127.03719, 37.58656], [127.0372328, 37.5866596]]",True
